Navn;Stasjon;Tid(norsk normaltid);Middeltemperatur (døgn)
Flesland;SN50500;01.01.1995;-0,5
Flesland;SN50500;02.01.1995;-1,2
Flesland;SN50500;03.01.1995;-0,5
Flesland;SN50500;04.01.1995;3
Flesland;SN50500;05.01.1995;2,7
Flesland;SN50500;06.01.1995;2,1
Flesland;SN50500;07.01.1995;3,5
Flesland;SN50500;08.01.1995;4,6
Flesland;SN50500;09.01.1995;3,7
Flesland;SN50500;10.01.1995;0,7
Flesland;SN50500;11.01.1995;0,7
Flesland;SN50500;12.01.1995;0,9
Flesland;SN50500;13.01.1995;3,3
Flesland;SN50500;14.01.1995;5,8
Flesland;SN50500;15.01.1995;2,6
Flesland;SN50500;16.01.1995;6,2
Flesland;SN50500;17.01.1995;5,8
Flesland;SN50500;18.01.1995;5,7
Flesland;SN50500;19.01.1995;5,7
Flesland;SN50500;20.01.1995;6
Flesland;SN50500;21.01.1995;4,5
Flesland;SN50500;22.01.1995;5,6
Flesland;SN50500;23.01.1995;1,4
Flesland;SN50500;24.01.1995;-0,3
Flesland;SN50500;25.01.1995;-0,1
Flesland;SN50500;26.01.1995;-0,3
Flesland;SN50500;27.01.1995;-1,2
Flesland;SN50500;28.01.1995;-4,5
Flesland;SN50500;29.01.1995;-5,2
Flesland;SN50500;30.01.1995;-1,8
Flesland;SN50500;31.01.1995;1
Flesland;SN50500;01.02.1995;5,2
Flesland;SN50500;02.02.1995;-0,9
Flesland;SN50500;03.02.1995;4,4
Flesland;SN50500;04.02.1995;4,3
Flesland;SN50500;05.02.1995;4
Flesland;SN50500;06.02.1995;3,5
Flesland;SN50500;07.02.1995;0,9
Flesland;SN50500;08.02.1995;-3,1
Flesland;SN50500;09.02.1995;-3
Flesland;SN50500;10.02.1995;-3,6
Flesland;SN50500;11.02.1995;-2,7
Flesland;SN50500;12.02.1995;-0,1
Flesland;SN50500;13.02.1995;4,7
Flesland;SN50500;14.02.1995;5,3
Flesland;SN50500;15.02.1995;5,2
Flesland;SN50500;16.02.1995;5
Flesland;SN50500;17.02.1995;3,2
Flesland;SN50500;18.02.1995;2,8
Flesland;SN50500;19.02.1995;4,1
Flesland;SN50500;20.02.1995;2,1
Flesland;SN50500;21.02.1995;1,7
Flesland;SN50500;22.02.1995;3,3
Flesland;SN50500;23.02.1995;1,3
Flesland;SN50500;24.02.1995;1,7
Flesland;SN50500;25.02.1995;0,4
Flesland;SN50500;26.02.1995;-1,2
Flesland;SN50500;27.02.1995;0,9
Flesland;SN50500;28.02.1995;3,8
Flesland;SN50500;01.03.1995;3,4
Flesland;SN50500;02.03.1995;1,1
Flesland;SN50500;03.03.1995;0,5
Flesland;SN50500;04.03.1995;-0,9
Flesland;SN50500;05.03.1995;1,1
Flesland;SN50500;06.03.1995;3,3
Flesland;SN50500;07.03.1995;3
Flesland;SN50500;08.03.1995;5,1
Flesland;SN50500;09.03.1995;4,5
Flesland;SN50500;10.03.1995;5,3
Flesland;SN50500;11.03.1995;6,6
Flesland;SN50500;12.03.1995;3,9
Flesland;SN50500;13.03.1995;5,7
Flesland;SN50500;14.03.1995;2,3
Flesland;SN50500;15.03.1995;0,9
Flesland;SN50500;16.03.1995;2,1
Flesland;SN50500;17.03.1995;2,1
Flesland;SN50500;18.03.1995;2
Flesland;SN50500;19.03.1995;2,9
Flesland;SN50500;20.03.1995;3,2
Flesland;SN50500;21.03.1995;2,5
Flesland;SN50500;22.03.1995;3,7
Flesland;SN50500;23.03.1995;5,5
Flesland;SN50500;24.03.1995;4,2
Flesland;SN50500;25.03.1995;1,5
Flesland;SN50500;26.03.1995;0,8
Flesland;SN50500;27.03.1995;-2,1
Flesland;SN50500;28.03.1995;-0,8
Flesland;SN50500;29.03.1995;2,3
Flesland;SN50500;30.03.1995;2,4
Flesland;SN50500;31.03.1995;5,4
Flesland;SN50500;01.04.1995;3,5
Flesland;SN50500;02.04.1995;2
Flesland;SN50500;03.04.1995;-0,1
Flesland;SN50500;04.04.1995;0
Flesland;SN50500;05.04.1995;1,1
Flesland;SN50500;06.04.1995;5,4
Flesland;SN50500;07.04.1995;3,9
Flesland;SN50500;08.04.1995;2,3
Flesland;SN50500;09.04.1995;2,5
Flesland;SN50500;10.04.1995;1,8
Flesland;SN50500;11.04.1995;5,7
Flesland;SN50500;12.04.1995;6,8
Flesland;SN50500;13.04.1995;6,1
Flesland;SN50500;14.04.1995;4,7
Flesland;SN50500;15.04.1995;4,7
Flesland;SN50500;16.04.1995;1,6
Flesland;SN50500;17.04.1995;1,5
Flesland;SN50500;18.04.1995;2,9
Flesland;SN50500;19.04.1995;1,3
Flesland;SN50500;20.04.1995;3,9
Flesland;SN50500;21.04.1995;2,9
Flesland;SN50500;22.04.1995;7,1
Flesland;SN50500;23.04.1995;11,5
Flesland;SN50500;24.04.1995;12,5
Flesland;SN50500;25.04.1995;10,1
Flesland;SN50500;26.04.1995;5,7
Flesland;SN50500;27.04.1995;4,6
Flesland;SN50500;28.04.1995;3,8
Flesland;SN50500;29.04.1995;3,7
Flesland;SN50500;30.04.1995;4,6
Flesland;SN50500;01.05.1995;5,9
Flesland;SN50500;02.05.1995;9,7
Flesland;SN50500;03.05.1995;8,8
Flesland;SN50500;04.05.1995;11,1
Flesland;SN50500;05.05.1995;8,5
Flesland;SN50500;06.05.1995;7,1
Flesland;SN50500;07.05.1995;7,5
Flesland;SN50500;08.05.1995;8,4
Flesland;SN50500;09.05.1995;9
Flesland;SN50500;10.05.1995;5,8
Flesland;SN50500;11.05.1995;5,3
Flesland;SN50500;12.05.1995;4,5
Flesland;SN50500;13.05.1995;4
Flesland;SN50500;14.05.1995;3,6
Flesland;SN50500;15.05.1995;2,8
Flesland;SN50500;16.05.1995;4,9
Flesland;SN50500;17.05.1995;4
Flesland;SN50500;18.05.1995;4,9
Flesland;SN50500;19.05.1995;3,7
Flesland;SN50500;20.05.1995;3,9
Flesland;SN50500;21.05.1995;5,1
Flesland;SN50500;22.05.1995;7,1
Flesland;SN50500;23.05.1995;10
Flesland;SN50500;24.05.1995;11,1
Flesland;SN50500;25.05.1995;14,1
Flesland;SN50500;26.05.1995;12
Flesland;SN50500;27.05.1995;11,8
Flesland;SN50500;28.05.1995;14
Flesland;SN50500;29.05.1995;13,6
Flesland;SN50500;30.05.1995;12,3
Flesland;SN50500;31.05.1995;10,4
Flesland;SN50500;01.06.1995;8,4
Flesland;SN50500;02.06.1995;9,9
Flesland;SN50500;03.06.1995;10,8
Flesland;SN50500;04.06.1995;12
Flesland;SN50500;05.06.1995;11,2
Flesland;SN50500;06.06.1995;9,9
Flesland;SN50500;07.06.1995;10,4
Flesland;SN50500;08.06.1995;14,4
Flesland;SN50500;09.06.1995;12,7
Flesland;SN50500;10.06.1995;9,6
Flesland;SN50500;11.06.1995;10,4
Flesland;SN50500;12.06.1995;12,8
Flesland;SN50500;13.06.1995;15,5
Flesland;SN50500;14.06.1995;14,9
Flesland;SN50500;15.06.1995;15
Flesland;SN50500;16.06.1995;13
Flesland;SN50500;17.06.1995;11,6
Flesland;SN50500;18.06.1995;9,6
Flesland;SN50500;19.06.1995;11,5
Flesland;SN50500;20.06.1995;11,7
Flesland;SN50500;21.06.1995;9,3
Flesland;SN50500;22.06.1995;10,4
Flesland;SN50500;23.06.1995;12,8
Flesland;SN50500;24.06.1995;14,6
Flesland;SN50500;25.06.1995;14,2
Flesland;SN50500;26.06.1995;13,4
Flesland;SN50500;27.06.1995;15,9
Flesland;SN50500;28.06.1995;13,6
Flesland;SN50500;29.06.1995;12,3
Flesland;SN50500;30.06.1995;10,4
Flesland;SN50500;01.07.1995;10,9
Flesland;SN50500;02.07.1995;9,4
Flesland;SN50500;03.07.1995;9,6
Flesland;SN50500;04.07.1995;8,8
Flesland;SN50500;05.07.1995;9,1
Flesland;SN50500;06.07.1995;11,7
Flesland;SN50500;07.07.1995;12,9
Flesland;SN50500;08.07.1995;12,1
Flesland;SN50500;09.07.1995;12,1
Flesland;SN50500;10.07.1995;15,4
Flesland;SN50500;11.07.1995;16,4
Flesland;SN50500;12.07.1995;16,1
Flesland;SN50500;13.07.1995;15
Flesland;SN50500;14.07.1995;16,4
Flesland;SN50500;15.07.1995;16,4
Flesland;SN50500;16.07.1995;16
Flesland;SN50500;17.07.1995;14,4
Flesland;SN50500;18.07.1995;13
Flesland;SN50500;19.07.1995;13,4
Flesland;SN50500;20.07.1995;14,7
