date;temperature
1;-0,5
2;-1,2
3;-0,5
4;3
5;2,7
6;2,1
7;3,5
8;4,6
9;3,7
10;0,7
11;0,7
12;0,9
13;3,3
14;5,8
15;2,6
16;6,2
17;5,8
18;5,7
19;5,7
20;6
21;4,5
22;5,6
23;1,4
24;-0,3
25;-0,1
26;-0,3
27;-1,2
28;-4,5
29;-5,2
30;-1,8
31;1
32;5,2
33;-0,9
34;4,4
35;4,3
36;4
37;3,5
38;0,9
39;-3,1
40;-3
41;-3,6
42;-2,7
43;-0,1
44;4,7
45;5,3
46;5,2
47;5
48;3,2
49;2,8
50;4,1
51;2,1
52;1,7
53;3,3
54;1,3
55;1,7
56;0,4
57;-1,2
58;0,9
59;3,8
60;3,4
61;1,1
62;0,5
63;-0,9
64;1,1
65;3,3
66;3
67;5,1
68;4,5
69;5,3
70;6,6
71;3,9
72;5,7
73;2,3
74;0,9
75;2,1
76;2,1
77;2
78;2,9
79;3,2
80;2,5
81;3,7
82;5,5
83;4,2
84;1,5
85;0,8
86;-2,1
87;-0,8
88;2,3
89;2,4
90;5,4
91;3,5
92;2
93;-0,1
94;0
95;1,1
96;5,4
97;3,9
98;2,3
99;2,5
100;1,8
101;5,7
102;6,8
103;6,1
104;4,7
105;4,7
106;1,6
107;1,5
108;2,9
109;1,3
110;3,9
111;2,9
112;7,1
113;11,5
114;12,5
115;10,1
116;5,7
117;4,6
118;3,8
119;3,7
120;4,6
121;5,9
122;9,7
123;8,8
124;11,1
125;8,5
126;7,1
127;7,5
128;8,4
129;9
130;5,8
131;5,3
132;4,5
133;4
134;3,6
135;2,8
136;4,9
137;4
138;4,9
139;3,7
140;3,9
141;5,1
142;7,1
143;10
144;11,1
145;14,1
146;12
147;11,8
148;14
149;13,6
150;12,3
151;10,4
152;8,4
153;9,9
154;10,8
155;12
156;11,2
157;9,9
158;10,4
159;14,4
160;12,7
161;9,6
162;10,4
163;12,8
164;15,5
165;14,9
166;15
167;13
168;11,6
169;9,6
170;11,5
171;11,7
172;9,3
173;10,4
174;12,8
175;14,6
176;14,2
177;13,4
178;15,9
179;13,6
180;12,3
181;10,4
182;10,9
183;9,4
184;9,6
185;8,8
186;9,1
187;11,7
188;12,9
189;12,1
190;12,1
191;15,4
192;16,4
193;16,1
194;15
195;16,4
196;16,4
197;16
198;14,4
199;13
200;13,4
201;14,7
202;12,4
203;10,9
204;11,5
205;11,5
206;13,4
207;15,1
208;18,6
209;17,7
210;16,4
211;17,8
212;17,4
213;20
214;17,5
215;15,5
216;14,9
217;13,3
218;12,4
219;11,8
220;11,5
221;12,4
222;15
223;15,4
224;17,2
225;14,8
226;13,5
227;13,7
228;14,6
229;17,1
230;17,2
231;15
232;14,4
233;15,4
234;15,5
235;13,7
236;12,7
237;13,5
238;11,1
239;10,6
240;9,5
