date;temperature
1;7,2
2;4,4
3;2,1
4;1,3
5;3,8
6;5,2
7;4,2
8;4,4
9;3,2
10;4,0
11;3,4
12;4,7
13;4,0
14;3,3
15;4,0
16;3,7
17;3,2
18;1,4
19;0,2
20;0,9
21;0,2
22;-1,3
23;1,6
24;1,9
25;3,0
26;3,2
27;4,4
28;4,1
29;1,4
30;0,9
31;0,3
32;-2,2
33;-1,3
34;-1,7
35;-2,5
36;0,3
37;2,7
38;2,6
39;3,3
40;5,2
41;5,9
42;4,0
43;4,2
44;3,3
45;4,3
46;4,3
47;4,1
48;3,7
49;6,5
50;6,2
51;2,9
52;1,8
53;1,3
54;2,7
55;3,5
56;4,4
57;3,1
58;3,9
59;4,3
60;4,6
61;3,3
62;1,5
63;1,8
64;4,1
65;5,1
66;6,5
67;5,5
68;4,4
69;5,5
70;4,3
71;4,4
72;5,0
73;2,9
74;4,0
75;6,8
76;7,9
77;7,3
78;5,4
79;5,2
80;3,5
81;3,2
82;4,6
83;3,5
84;4,0
85;3,0
86;3,8
87;4,2
88;4,9
89;6,9
90;5,7
91;5,4
92;6,0
93;5,9
94;3,9
95;3,7
96;5,8
97;6,1
98;4,2
99;5,7
100;6,6
101;9,3
102;9,2
103;5,7
104;8,5
105;6,5
106;4,6
107;4,7
108;5,4
109;5,2
110;5,1
111;5,9
112;4,7
113;1,6
114;8,1
115;8,4
116;10,7
117;10,5
118;6,3
119;5,9
120;6,6
121;7,4
122;8,5
123;8,5
124;8,7
125;7,7
126;7,6
127;7,1
128;6,4
129;9,1
130;8,2
131;8,9
132;7,3
133;7,4
134;6,7
135;6,8
136;8,1
137;6,8
138;8,0
139;7,5
140;8,9
141;9,1
142;11,6
143;10,9
144;8,4
145;8,6
146;9,2
147;9,3
148;9,9
149;10,1
150;8,7
151;7,0
152;7,8
153;9,2
154;9,1
155;10,0
156;6,8
157;8,1
158;9,2
159;12,0
160;9,1
161;10,6
162;9,9
163;10,8
164;13,9
165;13,2
166;9,5
167;7,6
168;14,2
169;22,1
170;15,2
171;16,1
172;16,2
173;18,0
174;16,1
175;15,1
176;15,3
177;13,6
178;14,1
179;14,0
180;15,6
181;12,9
182;12,2
183;13,6
184;19,4
185;16,6
186;15,4
187;16,6
188;20,3
189;20,4
190;18,0
191;19,4
192;18,7
193;20,9
194;20,4
195;17,5
196;14,5
197;14,1
198;13,0
199;13,6
200;14,4
201;14,3
202;13,9
203;13,7
204;15,5
205;11,8
206;10,8
207;9,6
208;12,2
209;14,0
210;13,4
211;15,0
