date,temperature
2023-01-01,-1.6
2023-01-02,-2.3
2023-01-03,0.6
2023-01-04,2.6
2023-01-05,1.2
2023-01-06,3.2
2023-01-07,6.2
2023-01-08,5.9
2023-01-09,4.9
2023-01-10,5.3
2023-01-11,5.9
2023-01-12,4.0
2023-01-13,2.3
2023-01-14,0.9
2023-01-15,1.9
2023-01-16,1.0
2023-01-17,0.7
2023-01-18,0.5
2023-01-19,0.2
2023-01-20,-2.8
2023-01-21,-0.1
2023-01-22,1.7
2023-01-23,2.7
2023-01-24,6.0
2023-01-25,6.2
2023-01-26,2.1
2023-01-27,1.4
2023-01-28,4.7
2023-01-29,5.4
2023-01-30,2.9
2023-01-31,2.1
2023-02-01,2.4
2023-02-02,0.4
2023-02-03,2.1
2023-02-04,1.4
2023-02-05,3.8
2023-02-06,5.0
2023-02-07,5.3
2023-02-08,5.8
2023-02-09,3.6
2023-02-10,3.6
2023-02-11,6.7
2023-02-12,6.7
2023-02-13,5.7
2023-02-14,5.4
2023-02-15,5.1
2023-02-16,5.7
2023-02-17,4.7
2023-02-18,2.4
2023-02-19,2.2
2023-02-20,6.1
2023-02-21,4.9
2023-02-22,4.5
2023-02-23,2.8
2023-02-24,2.8
2023-02-25,1.4
2023-02-26,2.4
2023-02-27,4.2
2023-02-28,3.5
2023-03-01,3.9
2023-03-02,2.9
2023-03-03,2.4
2023-03-04,0.5
2023-03-05,-0.9
2023-03-06,-2.0
2023-03-07,-3.2
2023-03-08,-2.3
2023-03-09,-4.5
2023-03-10,-3.5
2023-03-11,-2.0
2023-03-12,-0.5
2023-03-13,1.5
2023-03-14,0.6
2023-03-15,0.9
2023-03-16,1.4
2023-03-17,4.7
2023-03-18,3.3
2023-03-19,4.9
2023-03-20,3.7
2023-03-21,3.2
2023-03-22,6.0
2023-03-23,5.5
2023-03-24,5.8
2023-03-25,4.4
2023-03-26,1.4
2023-03-27,1.5
2023-03-28,1.2
2023-03-29,3.2
2023-03-30,2.7
2023-03-31,5.8
2023-04-01,3.5
2023-04-02,4.2
2023-04-03,4.7
2023-04-04,4.5
2023-04-05,5.2
2023-04-06,3.9
2023-04-07,5.8
2023-04-08,6.8
2023-04-09,6.8
2023-04-10,7.8
2023-04-11,8.0
2023-04-12,7.7
2023-04-13,8.9
2023-04-14,7.9
2023-04-15,7.0
2023-04-16,7.5
2023-04-17,8.1
2023-04-18,9.7
2023-04-19,10.3
2023-04-20,10.9
2023-04-21,9.0
2023-04-22,10.7
2023-04-23,9.0
2023-04-24,5.9
2023-04-25,4.6
2023-04-26,4.5
2023-04-27,4.0
2023-04-28,3.2
2023-04-29,4.0
2023-04-30,4.0
2023-05-01,4.3
2023-05-02,5.9
2023-05-03,6.8
2023-05-04,4.6
2023-05-05,8.9
2023-05-06,9.1
2023-05-07,10.3
2023-05-08,11.8
2023-05-09,10.7
2023-05-10,10.3
2023-05-11,10.6
2023-05-12,10.3
2023-05-13,9.8
2023-05-14,10.3
2023-05-15,7.2
2023-05-16,5.8
2023-05-17,6.0
2023-05-18,7.5
2023-05-19,9.1
2023-05-20,9.7
2023-05-21,10.9
2023-05-22,10.4
2023-05-23,10.3
2023-05-24,9.1
2023-05-25,8.9
2023-05-26,9.2
2023-05-27,8.1
2023-05-28,7.7
2023-05-29,7.8
2023-05-30,9.7
2023-05-31,9.5
2023-06-01,9.3
2023-06-02,10.2
2023-06-03,10.5
2023-06-04,11.8
2023-06-05,10.8
2023-06-06,10.7
2023-06-07,11.0
2023-06-08,13.4
2023-06-09,14.9
2023-06-10,16.4
2023-06-11,17.6
2023-06-12,16.3
2023-06-13,16.8
2023-06-14,18.1
2023-06-15,19.1
2023-06-16,17.4
2023-06-17,15.5
2023-06-18,17.9
2023-06-19,19.1
2023-06-20,18.1
2023-06-21,16.5
2023-06-22,14.2
2023-06-23,14.0
2023-06-24,16.0
2023-06-25,19.0
2023-06-26,16.7
2023-06-27,12.8
2023-06-28,15.0
2023-06-29,14.3
2023-06-30,14.3
2023-07-01,16.0
2023-07-02,14.0
2023-07-03,13.7
2023-07-04,12.9
2023-07-05,14.3
2023-07-06,14.5
2023-07-07,14.0
2023-07-08,18.3
2023-07-09,20.7
2023-07-10,17.3
2023-07-11,15.0
2023-07-12,15.4
2023-07-13,13.5
2023-07-14,14.4
2023-07-15,14.6
2023-07-16,14.6
2023-07-17,13.5
2023-07-18,12.3
2023-07-19,11.2
2023-07-20,12.8
2023-07-21,12.9
2023-07-22,14.3
2023-07-23,16.5
2023-07-24,16.3
2023-07-25,13.6
2023-07-26,15.6
2023-07-27,15.3
2023-07-28,15.4
2023-07-29,16.3
2023-07-30,15.8
2023-07-31,15.7
2023-08-01,16.5
2023-08-02,16.5
2023-08-03,16.4
2023-08-04,14.2
2023-08-05,13.7
2023-08-06,14.9
2023-08-07,12.9
2023-08-08,10.9
2023-08-09,10.0
2023-08-10,10.2
2023-08-11,13.5
2023-08-12,16.5
2023-08-13,14.9
2023-08-14,15.0
2023-08-15,14.8
2023-08-16,14.0
2023-08-17,15.9
2023-08-18,18.7
2023-08-19,17.4
2023-08-20,16.8
2023-08-21,16.1
2023-08-22,15.7
2023-08-23,14.1
2023-08-24,13.9
2023-08-25,14.1
2023-08-26,15.0
2023-08-27,13.4
2023-08-28,13.1
2023-08-29,12.3
2023-08-30,14.1
2023-08-31,15.1
2023-09-01,13.9
2023-09-02,12.6
2023-09-03,13.2
2023-09-04,15.2
2023-09-05,13.9
2023-09-06,13.6
2023-09-07,15.8
2023-09-08,17.9
2023-09-09,16.1
2023-09-10,15.4
2023-09-11,15.2
2023-09-12,11.8
2023-09-13,10.1
2023-09-14,10.5
2023-09-15,12.8
2023-09-16,11.0
2023-09-17,11.5
2023-09-18,14.4
2023-09-19,11.9
2023-09-20,12.4
2023-09-21,13.8
2023-09-22,13.1
2023-09-23,10.8
2023-09-24,11.2
2023-09-25,14.7
2023-09-26,15.0
2023-09-27,13.7
2023-09-28,14.3
2023-09-29,12.9
2023-09-30,11.0
2023-10-01,10.4
2023-10-02,11.8
2023-10-03,11.5
2023-10-04,10.4
2023-10-05,9.0
2023-10-06,10.3
2023-10-07,6.9
2023-10-08,5.6
2023-10-09,6.5
2023-10-10,10.4
2023-10-11,8.6
2023-10-12,8.3
2023-10-13,8.7
2023-10-14,7.1
2023-10-15,5.5
2023-10-16,5.9
2023-10-17,8.8
2023-10-18,6.0
2023-10-19,4.1
2023-10-20,3.2
2023-10-21,4.3
2023-10-22,7.8
2023-10-23,8.6
2023-10-24,6.6
2023-10-25,5.4
2023-10-26,3.3
2023-10-27,2.4
2023-10-28,2.7
2023-10-29,2.8
2023-10-30,2.6
2023-10-31,1.4
2023-11-01,2.7
2023-11-02,6.9
2023-11-03,6.9
2023-11-04,9.4
2023-11-05,6.2
2023-11-06,5.3
2023-11-07,4.7
2023-11-08,3.8
2023-11-09,5.1
2023-11-10,3.8
2023-11-11,2.7
2023-11-12,1.5
2023-11-13,2.1
2023-11-14,1.5
2023-11-15,1.7
2023-11-16,1.8
2023-11-17,0.8
2023-11-18,2.1
2023-11-19,4.0
2023-11-20,3.0
2023-11-21,2.2
2023-11-22,6.3
2023-11-23,3.3
2023-11-24,2.9
2023-11-25,2.6
